,text,ipa,syllables,stress,audio_files,audio_urls
1605,انعدى,ɪnˈʕa.da,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انعَدى.wav,https://upload.wikimedia.org/wikipedia/commons/7/7e/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D8%B9%D9%8E%D8%AF%D9%89.wav
1606,انعمل,ɪnˈʕa.mal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انعَمَل.wav,https://upload.wikimedia.org/wikipedia/commons/7/76/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D8%B9%D9%8E%D9%85%D9%8E%D9%84.wav
1607,انعمى,ɪnˈʕa.ma,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انعَمى.wav,https://upload.wikimedia.org/wikipedia/commons/a/ae/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D8%B9%D9%8E%D9%85%D9%89.wav
1608,انغلى,ɪnˈɣa.la,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انغَلى.wav,https://upload.wikimedia.org/wikipedia/commons/f/f8/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D8%BA%D9%8E%D9%84%D9%89.wav
1609,انفتح,ɪnˈfa.taħ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انفَتَح.wav,https://upload.wikimedia.org/wikipedia/commons/d/d8/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%81%D9%8E%D8%AA%D9%8E%D8%AD.wav
1610,انفجر,ɪnˈfa.ʒar,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انفَجَر.wav,https://upload.wikimedia.org/wikipedia/commons/f/f2/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%81%D9%8E%D8%AC%D9%8E%D8%B1.wav
1611,انفصل,ɪnˈfɑ.sˤɑl,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انفَصَل.wav,https://upload.wikimedia.org/wikipedia/commons/c/c4/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%81%D9%8E%D8%B5%D9%8E%D9%84.wav
1612,انفضح,ɪnˈfɑ.dˤɑħ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انفَضَح.wav,https://upload.wikimedia.org/wikipedia/commons/c/c3/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%81%D9%8E%D8%B6%D9%8E%D8%AD.wav
1613,انقطع,ɪnˈʔɑ.tˤɑʕ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انقَطَع.wav,https://upload.wikimedia.org/wikipedia/commons/a/a2/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%82%D9%8E%D8%B7%D9%8E%D8%B9.wav
1614,انكتب,ɪnˈka.tab,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انكَتَب.wav,https://upload.wikimedia.org/wikipedia/commons/e/e2/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%83%D9%8E%D8%AA%D9%8E%D8%A8.wav
1615,انمسك,ɪnˈma.sak,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انمَسَك.wav,https://upload.wikimedia.org/wikipedia/commons/f/ff/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%85%D9%8E%D8%B3%D9%8E%D9%83.wav
1616,انولد,ɪnˈwa.lad,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-انوَلَد.wav,https://upload.wikimedia.org/wikipedia/commons/4/40/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D9%88%D9%8E%D9%84%D9%8E%D8%AF.wav
1617,بازلا,bæːˈzel.la,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-بَازِلّا.wav,https://upload.wikimedia.org/wikipedia/commons/8/82/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D9%8E%D8%A7%D8%B2%D9%90%D9%84%D9%91%D8%A7.wav
1618,بالآخر,bɪlˈʔæː.xɪr,3,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-بالآخر.wav,https://upload.wikimedia.org/wikipedia/commons/9/90/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A8%D8%A7%D9%84%D8%A2%D8%AE%D8%B1.wav
