data	accuracy	precision	recall	fscore
Raw	(0.762, 0.622)	0.76	0.662	0.71
Raw	(0.758, 0.617)	0.705	0.761	0.73
Raw	(0.762, 0.667)	0.733	0.711	0.72
Raw	(0.758, 0.647)	0.713	0.741	0.73
Raw	(0.771, 0.677)	0.711	0.796	0.75
Raw	(0.762, 0.662)	0.729	0.721	0.72
Raw	(0.76, 0.647)	0.691	0.811	0.75
Raw	(0.76, 0.647)	0.716	0.741	0.73
Raw	(0.778, 0.662)	0.706	0.836	0.77
Raw	(0.78, 0.667)	0.741	0.756	0.75
Raw	(0.771, 0.637)	0.692	0.851	0.76
Raw	(0.773, 0.682)	0.738	0.741	0.74
Raw	(0.769, 0.667)	0.701	0.816	0.75
Raw	(0.754, 0.612)	0.76	0.632	0.69
Raw	(0.767, 0.662)	0.738	0.716	0.73
Raw	(0.762, 0.617)	0.749	0.682	0.71
Raw	(0.778, 0.662)	0.769	0.697	0.73
Raw	(0.762, 0.602)	0.676	0.871	0.76
Raw	(0.767, 0.657)	0.731	0.731	0.73
Raw	(0.769, 0.617)	0.684	0.871	0.77
Raw	(0.775, 0.667)	0.749	0.726	0.74
Raw	(0.767, 0.662)	0.736	0.721	0.73
Raw	(0.762, 0.587)	0.67	0.891	0.76
Raw	(0.756, 0.577)	0.789	0.597	0.68
Raw	(0.769, 0.652)	0.747	0.706	0.73
Raw	(0.765, 0.607)	0.677	0.876	0.76
Raw	(0.76, 0.607)	0.674	0.866	0.76
Raw	(0.773, 0.672)	0.742	0.731	0.74
Raw	(0.756, 0.622)	0.742	0.672	0.71
Raw	(0.773, 0.652)	0.776	0.672	0.72
Raw	(0.769, 0.662)	0.753	0.697	0.72
Raw	(0.76, 0.597)	0.679	0.851	0.76
Raw	(0.758, 0.632)	0.746	0.672	0.71
Raw	(0.767, 0.662)	0.71	0.781	0.74
Raw	(0.765, 0.657)	0.745	0.697	0.72
Raw	(0.767, 0.622)	0.685	0.856	0.76
Raw	(0.765, 0.657)	0.737	0.711	0.72
Raw	(0.76, 0.662)	0.712	0.751	0.73
Raw	(0.743, 0.557)	0.649	0.891	0.75
Raw	(0.773, 0.682)	0.718	0.786	0.75
Raw	(0.767, 0.662)	0.707	0.791	0.75
Raw	(0.762, 0.652)	0.738	0.701	0.72
Raw	(0.767, 0.642)	0.693	0.831	0.76
Raw	(0.771, 0.672)	0.749	0.711	0.73
Raw	(0.765, 0.667)	0.707	0.781	0.74
Raw	(0.769, 0.667)	0.714	0.781	0.75
Raw	(0.767, 0.672)	0.725	0.746	0.74
Raw	(0.758, 0.667)	0.701	0.771	0.73
Raw	(0.778, 0.657)	0.772	0.692	0.73
Raw	(0.741, 0.582)	0.656	0.846	0.74
Raw	(0.78, 0.697)	0.737	0.766	0.75
Raw	(0.767, 0.627)	0.782	0.642	0.71
Raw	(0.765, 0.677)	0.709	0.776	0.74
Raw	(0.773, 0.692)	0.726	0.766	0.75
Raw	(0.747, 0.617)	0.706	0.716	0.71
Raw	(0.76, 0.677)	0.714	0.746	0.73
Raw	(0.773, 0.667)	0.764	0.692	0.73
Raw	(0.775, 0.682)	0.714	0.806	0.76
Raw	(0.784, 0.692)	0.759	0.736	0.75
Raw	(0.773, 0.667)	0.747	0.721	0.73
