fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file1028.TextGrid,1,0.090,74,76,77,78,79,79,78,77,75,73,77.084
file1028.TextGrid,2,0.360,73,70,69,77,76,72,65,57,45,29,64.945
file1029.TextGrid,1,0.080,9,13,17,18,27,42,55,63,66,68,37.586
file1029.TextGrid,2,0.580,68,61,68,71,71,52,36,54,37,25,54.804
file103.TextGrid,1,0.230,49,68,73,73,75,77,78,78,77,75,73.699
file103.TextGrid,2,0.470,75,71,73,74,71,59,52,52,44,38,61.683
file1030.TextGrid,1,0.240,36,63,79,82,83,80,72,70,70,64,71.802
file1030.TextGrid,2,0.490,64,62,78,81,79,65,54,53,45,35,62.614
file1031.TextGrid,1,0.170,29,47,69,75,75,73,70,65,55,62,63.711
file1031.TextGrid,2,0.700,62,67,77,77,74,66,56,42,35,22,61.638
file1032.TextGrid,1,0.190,48,52,55,57,70,83,84,83,82,79,69.842
file1032.TextGrid,2,0.260,79,76,73,71,72,73,65,63,56,54,68.151
file1033.TextGrid,1,0.220,41,61,63,65,74,79,79,78,76,73,70.493
file1033.TextGrid,2,0.600,73,72,71,75,74,67,54,51,47,46,63.234
file1034.TextGrid,1,0.160,17,25,40,48,52,56,73,78,76,69,54.631
file1034.TextGrid,2,0.500,69,64,81,80,75,62,55,52,44,44,63.001
file1035.TextGrid,1,0.360,29,63,81,72,69,65,55,49,63,63,62.946
file1035.TextGrid,2,0.390,63,73,76,68,62,57,54,51,42,28,59.201
file1036.TextGrid,1,0.350,31,66,74,72,75,71,79,78,78,78,71.900
file1036.TextGrid,2,0.440,78,77,77,79,78,74,74,58,54,44,70.559
file1037.TextGrid,1,0.110,28,41,61,66,73,80,81,82,81,77,68.427
file1037.TextGrid,2,0.490,77,75,74,74,75,62,54,50,37,34,61.517
file1038.TextGrid,1,0.480,4,52,62,63,78,82,83,83,81,74,70.772
file1038.TextGrid,2,0.300,74,73,75,72,70,64,55,46,39,20,60.401
file1039.TextGrid,1,0.210,21,55,63,63,64,77,81,81,79,73,68.281
file1039.TextGrid,2,0.270,73,69,73,76,75,70,62,52,43,36,63.785
file104.TextGrid,1,0.210,23,64,74,75,75,66,66,64,60,66,65.539
file104.TextGrid,2,0.400,66,68,67,67,67,56,49,42,44,34,56.998
file1040.TextGrid,1,0.160,22,32,44,65,70,72,72,72,71,68,60.204
